,LOGRADOURO,BAIRRO,CIDADE/ESTADO,BAIRRO.1,CEP
781,Rua 3  (Mutirão Esperança),Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-525
782,Rua de Pedestre 3  (Lot Res Sonho Meu),Parangaba,"Fortaleza, CE","Parangaba, Fortaleza, CE",60720-657
783,Travessa 3  (Cj Barroso II),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60867-482
784,Travessa 3  (Cj Jardim Castelão),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60862-268
785,Via de Pedestre 3  (Cj Rosalina),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60745-714
786,Rua 30  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-459
787,Rua 30  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60750-440
788,Rua 30  (Cj João Paulo II),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-700
789,Rua 301,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-500
790,Rua 301  (Cj São Cristovão),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60866-310
791,Rua 301A,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-510
792,Rua 301B,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-520
793,Rua 303  (Cj São Cristovão),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60866-320
794,Rua 303,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-530
795,Rua 303A,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-540
796,Rua 303B,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-550
797,Rua 303C,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-560
798,Rua 303D,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-570
799,Rua 305,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-580
800,Rua 305  (Cj São Cristovão),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60866-330
801,Rua 307  (Cj São Cristovão),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60866-340
802,Rua 307,Conjunto Ceará II,"Fortaleza, CE","Conjunto Ceará II, Fortaleza, CE",60530-590
