V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
23;440;FORTALEZA;65;MESSEJANA;9;91;2;1;": DO PONTO INICIAL SEGUE PELO ""RIO COCO"" ATE SUA BARRA NO ""OCEANO ATLANTICO"" IND"
23;440;FORTALEZA;65;MESSEJANA;9;91;2;2;"O POR SUA MARGEM ATE ENCONTRAR ""ESTRADA DA SABIAGUABA"" POR ESTA ATE ""RIACHO SEM"
23;440;FORTALEZA;65;MESSEJANA;9;91;2;3;"DENOMINACAO"" QUE VEM DE UMA LAGOA FORMADA PELAS AGUAS DO ""RIO COCO"" SEGUE POR ES"
23;440;FORTALEZA;65;MESSEJANA;9;91;2;4;"TE RIACHO CONTORNANDO AS AGUAS DA LAGOA(INCLUSIVE) ATE ""RIACHO MIRIU"" ATE PONTO"
23;440;FORTALEZA;65;MESSEJANA;9;91;2;5;INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;92;2;1;": DO PONTO INICIAL SEGUE PELO ""RIACHO MIRIU"" POR ESTE ATE UMA ""RIACHO SEMDENOMIN"
23;440;FORTALEZA;65;MESSEJANA;9;92;2;2;"ACAO"" DESCENDO POR ESTE CONTORNANDO AS AGUAS DA LAGOA ATE ""ESTRADA SABIAGUABA"" P"
23;440;FORTALEZA;65;MESSEJANA;9;92;2;3;"OR ESTA ATE ""RUA ANTONIO NOGUEIRA"" OU ""FRANCISCO MATIAS"" SEGUE PELA ""RUA ANTONIO"
23;440;FORTALEZA;65;MESSEJANA;9;92;2;4;" NOGUEIRA"" DEPOIS POR UM CAMINHO QUE LIGA A ""RUA DOIS"" ATE ""RLO MIRIU"" POR ESTE"
23;440;FORTALEZA;65;MESSEJANA;9;92;2;5;"ATE ""PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;93;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA QUATRO"" ATE ""RIACHO AGUA FRIA"" INDO ATE """
23;440;FORTALEZA;65;MESSEJANA;9;93;2;2;"RIO MIRIU"" ATE UM CAMINHO QUE LIGA ""RIO MIRIU"" COM ""AVENIDA DOIS"" - ""AVENIDA DOI"
23;440;FORTALEZA;65;MESSEJANA;9;93;2;3;"S"" - ""RUA DOUTOR CORREIA LIMA"" - ""AVENIDA EDILSON BRASIL SOARES"" - ""RUA FRANCISC"
23;440;FORTALEZA;65;MESSEJANA;9;93;2;4;"O CORDEIRO"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;94;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA EDILSON BRASIL SOARES"" ATE ""AVENIDA DOUTO"
23;440;FORTALEZA;65;MESSEJANA;9;94;2;2;"R CORREIA LIMA"" - ""RUA CORONEL OLEGARIO MEMORIA"" INDO ATE ""TRAVESSA UNIAO"" ATE P"
23;440;FORTALEZA;65;MESSEJANA;9;94;2;3;ONTO INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;95;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA EDILSON BRASIL SOARES"" - ""TRAVESSA UNIAO"""
23;440;FORTALEZA;65;MESSEJANA;9;95;2;2;" - ""RUA CORONEL OLEGARIO MEMORIA"" - ""RUA EVILAZIO ALMEIDA MIRANDA"" ATE PONTO INI"
23;440;FORTALEZA;65;MESSEJANA;9;95;2;3;CIAL
23;440;FORTALEZA;65;MESSEJANA;9;96;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA A"" SEGUINDO EM LINHA RETA PELA ""AVENIDA B"
23;440;FORTALEZA;65;MESSEJANA;9;96;2;2;" AINDA EM RETA PELA AVENIDA QUATRO"" ATE A ""RUA FRANCISCO CORDEIRO"" POR ESTA AT"
23;440;FORTALEZA;65;MESSEJANA;9;96;2;3;"E ""AVENIDA EDILSON BRASIL SOARES"" - ""RUA MARIA IVONE"" - ""RUA ONZE"" - ""AVENIDA B"""
23;440;FORTALEZA;65;MESSEJANA;9;96;2;4;" - ""RUA TREZE"" ATE PONTO INICIAL"
