Endereços;CEP
Vila Progresso;60330300
Vila Queiros;60330810
Vila Remo;60331110
Vila Risomar;60312240
Vila Samia Régia;60331810
Vila Sandra Bezerra;60336320
Vila Santa Edyna;60331080
Vila Santo Augusto;60330550
Vila Santo Olavo;60331770
Vila São Caetano;60333665
Vila São José;60330320
Vila São Miguel Paulista;60337040
Vila São Tarcísio;60330270
Vila Silva Monteiro;60331730
Vila Soledade;60331690
Vila Sousa Cruz;60331090
Vila Teixeira Rocha;60330260
Vila Tomé;60330450
Vila Torpedo;60331660
Vila Tróia;60332310
Vila Tulon;60331370
